id,name,date,diameter_min_km,diameter_max_km,hazardous,velocity_km_s,miss_distance_km
54110070,(2021 CH1),2025-02-27,0.0322518756,0.0721173863,False,17.2700464857,51210540.23782968
54132968,(2021 FY2),2025-02-27,0.0185590173,0.0414992243,False,10.4223140535,33249975.158460017
54235541,(2022 AK2),2025-02-27,0.0152951935,0.0342010925,False,25.9796805031,65639675.52837927
54248345,(2022 DN1),2025-02-27,0.0144728805,0.0323623447,False,11.1892495488,8591696.626997363
54322907,(2022 UG28),2025-02-27,0.0146067964,0.0326617897,False,8.8142905836,16126990.676274888
54350901,(2023 FM2),2025-02-27,0.035200998,0.0787118244,False,12.9765480458,74490680.89953448
54427163,(2024 CC7),2025-02-27,0.0142087207,0.0317716653,False,8.2347294628,7931633.44004965
54483853,(2024 SS3),2025-02-27,0.0415484643,0.0929051906,False,9.6828810377,45617257.8942581
54507070,(2024 XZ18),2025-02-27,0.1048467509,0.2344444622,False,8.9969082718,25467645.32940008
54517337,(2025 BH4),2025-02-27,0.0611723235,0.1367854737,False,8.9922310572,13169194.264044916
54520164,(2025 DJ1),2025-02-27,0.0230438467,0.0515276076,False,6.4510634001,4955628.079801786
54520177,(2025 DX1),2025-02-27,0.0203495578,0.0455029946,False,13.6480034295,11397647.521069732
54520308,(2025 DL2),2025-02-27,0.0224158379,0.0501233372,False,7.7470143237,12875879.006877596
54520328,(2025 DK3),2025-02-27,0.0101054342,0.0225964377,False,15.6476792565,1069332.979854565
54520919,(2025 DF9),2025-02-27,0.0108281678,0.0242125192,False,4.5464351427,4682324.574583729
54522525,(2025 EX),2025-02-27,0.0557898221,0.1247498347,False,10.1064588111,7120215.505716657
3447919,(2009 DE1),2025-02-26,0.0327005439,0.0731206391,False,18.2947751197,2508262.038457094
3607626,(2012 PK24),2025-02-26,0.0497227313,0.1111834072,False,22.1029974323,53345755.91714449
3673598,(2014 LZ20),2025-02-26,0.0340843469,0.0762149166,False,9.6513980248,62559063.01978583
3693267,(2014 TC36),2025-02-26,0.02658,0.0594346868,False,14.5809732707,61269520.13523746
3733138,(2015 VK1),2025-02-26,0.0127219879,0.0284472297,False,21.6570577293,43424729.90960568
3758248,(2016 QG44),2025-02-26,0.0868070458,0.1941064553,False,15.4936598204,29690660.85026449
3773595,(2017 FL127),2025-02-26,0.0732073989,0.1636967205,False,16.1975427591,9629977.053383484
54016311,(2020 FA3),2025-02-26,0.0555334912,0.1241766613,False,17.2407513181,66056453.309266105
54316897,(2022 UY),2025-02-26,0.0212106988,0.0474285643,False,9.2250676049,35060789.50225639
54426894,(2024 CX6),2025-02-26,0.0490405098,0.1096579137,False,10.4541511884,41779099.25997567
54468514,(2024 QH3),2025-02-26,0.0211132445,0.0472106499,False,3.6548261648,34566695.26365448
54519995,(2025 DL),2025-02-26,0.0547715431,0.1224728936,False,6.7041888382,19072267.915954977
54520042,(2025 DY),2025-02-26,0.0167708462,0.0375007522,False,12.8083786704,3638561.535859979
54520174,(2025 DT1),2025-02-26,0.0049266871,0.0110164072,False,7.8383759054,854413.708551823
54520788,(2025 DN6),2025-02-26,0.0024578477,0.0054959146,False,5.9986719686,298312.125221058
54521229,(2025 DO22),2025-02-26,0.0164647438,0.0368162863,False,14.1029805143,7511328.410664378
54521729,(2025 DB30),2025-02-26,0.0039496169,0.008831612,False,9.1366032314,385538.648954929
54522096,(2025 EE),2025-02-26,0.0168482569,0.0376738478,False,16.9352581414,2716476.108829631
54543547,(2025 RB),2025-02-26,0.0128989683,0.02884297,False,16.9719035804,24273548.45899508
2101955,101955 Bennu (1999 RQ36),2025-02-25,0.2412986969,0.5395602892,True,16.8962992971,58574507.31152992
3693428,(2014 UR),2025-02-25,0.0127219879,0.0284472297,False,15.4247254715,70813589.4000307
3708359,(2015 BK509),2025-02-25,0.0896509666,0.2004656557,False,14.5528180487,3600240.186445891
54240399,(2022 BH3),2025-02-25,0.0144063837,0.0322136532,False,24.1772173081,59260640.78464445
54248454,(2022 DW1),2025-02-25,0.0235806068,0.0527278398,False,14.4946858932,12027964.622667288
54248796,(2022 DT4),2025-02-25,0.0153657929,0.0343589575,False,9.6330885786,11056066.979511771
54320728,(2022 UM11),2025-02-25,0.0309424699,0.069189466,False,6.9434101727,22786186.551427715
54381338,(2023 RW3),2025-02-25,0.012605352,0.0281864239,False,5.1488362368,2742173.013672715
54467564,(2024 QH2),2025-02-25,0.0112345318,0.0251211767,False,23.5874574608,49203705.2767683
54519999,(2025 DP),2025-02-25,0.012605352,0.0281864239,False,6.4880031627,5580476.257266813
54520038,(2025 DT),2025-02-25,0.0229379698,0.0512908597,False,24.4765406746,975755.772222815
54520166,(2025 DL1),2025-02-25,0.0073545309,0.016445231,False,3.5885209999,3838243.306676853
54520171,(2025 DR1),2025-02-25,0.0089239058,0.01995446,False,6.25410658,2783202.518367626
54520302,(2025 DE2),2025-02-25,0.0115492818,0.0258249791,False,9.5152542531,1295820.48988675
54520309,(2025 DM2),2025-02-25,0.0087207729,0.019500241,False,14.7660395301,907782.688835175
54520315,(2025 DT2),2025-02-25,0.0125474356,0.028056919,False,9.8493832586,289924.591524194
54520327,(2025 DH3),2025-02-25,0.0287445144,0.0642746882,False,11.576934293,8773427.745478688
54520329,(2025 DJ3),2025-02-25,0.0479242116,0.1071617948,False,30.0208044891,15791859.987042828
54520516,(2025 DZ3),2025-02-25,0.0288771931,0.0645713667,False,9.8692928242,8069202.564196986
54520922,(2025 DP13),2025-02-25,0.0375452479,0.0839537266,False,14.8745859203,13187773.317193188
54521711,(2025 DJ25),2025-02-25,0.0127807099,0.0285785361,False,7.4982259846,6033752.402883706
54521726,(2025 DW29),2025-02-25,0.0175612318,0.0392681082,False,5.9595966722,16134742.778059142
54522093,(2025 DH30),2025-02-25,0.0084441313,0.0188816516,False,28.0730045961,400336.705697672
54526667,(2025 FE26),2025-02-25,0.013506878,0.0302022973,False,6.7557362958,4575607.512839464
54541503,(2025 QL3),2025-02-25,0.0080640828,0.0180318372,False,3.9177121297,21143054.85941712
54542539,(2025 QM9),2025-02-25,0.0147419515,0.0329640056,False,11.3814520254,14769379.339696756
54604135,(2026 DS8),2025-02-25,0.0136821698,0.0305942618,False,17.5947460937,5008973.288983595
54604520,(2026 DR14),2025-02-25,0.0494942761,0.1106725658,False,12.392152414,17038061.675890535
2455176,455176 (1999 VF22),2025-02-24,0.191670368,0.428587972,True,23.61028202,10466234.711724248
3136735,(2002 SQ),2025-02-24,0.3195618867,0.7145621017,False,10.5949764699,29332106.06670868
3141526,(2002 UZ30),2025-02-24,0.3346223745,0.7482383761,False,24.4606550279,54231473.54846572
3740494,(2016 AF193),2025-02-24,0.1043650238,0.2333672878,True,6.4304145902,21057834.05416549
3742875,(2016 CD137),2025-02-24,0.0160160338,0.0358129403,False,5.3462372007,12117164.566703262
3762168,(2016 UC57),2025-02-24,0.04411182,0.0986370281,False,5.3360644505,64752234.00600309
3799832,(2018 EU1),2025-02-24,0.0121494041,0.0271668934,False,22.1345609188,56469844.85791306
54248632,(2022 DV3),2025-02-24,0.0298232505,0.0666868155,False,12.9105834004,21856672.55792656
2612472,612472 (2002 SQ),2025-02-24,0.2861244538,0.6397937287,False,10.5950031112,29332071.00096795
54296730,(2022 QB2),2025-02-24,0.0223128464,0.0498930414,False,27.6842240368,58775165.56748343
54341525,(2023 CA2),2025-02-24,0.040230458,0.0899580388,False,24.1843284593,57212338.56560096
54403809,(2023 VS4),2025-02-24,0.0051115778,0.0114298355,False,9.1937830599,13043968.684548086
54515310,(2025 AE3),2025-02-24,0.096506147,0.2157943048,False,10.0867730194,10512144.652450675
54516843,(2025 BT1),2025-02-24,0.1283970296,0.2871044863,True,14.135377109,7829952.904754462
54520161,(2025 DF1),2025-02-24,0.0270741591,0.0605396602,False,11.5657264585,4055172.709598998
54520528,(2025 DS4),2025-02-24,0.0074912618,0.0167509707,False,8.3759045164,1130975.978971025
54520921,(2025 DJ13),2025-02-24,0.0063760979,0.0142573883,False,7.8588627568,1552338.126744865
54521708,(2025 DF25),2025-02-24,0.0040978398,0.0091630484,False,7.5561002034,725099.993262567
54521722,(2025 DE29),2025-02-24,0.0220067027,0.0492084832,False,4.5206783748,22739454.54048606
54603880,(2026 DN5),2025-02-24,0.0017472497,0.0039069691,False,8.8972755512,7201979.313629608
3368493,(2007 DW),2025-02-23,0.2140695897,0.4786741544,False,26.0224072912,27220027.238847427
3672459,(2014 KG39),2025-02-23,0.02658,0.0594346868,False,13.5178139657,18878369.62871188
3712903,(2015 EF),2025-02-23,0.0116025908,0.0259441818,False,24.0424055148,48040384.099053726
3781003,(2017 QF17),2025-02-23,0.3051792326,0.6824015094,False,8.8682135417,53112198.636172906
3994622,(2020 DV2),2025-02-23,0.0253837029,0.0567596853,False,13.1066103502,45025589.98580675
54065901,(2020 TS5),2025-02-23,0.0152951935,0.0342010925,False,4.3456154287,35361938.57156456
54253541,(2022 EF4),2025-02-23,0.0191670368,0.0428587972,False,6.4030153398,64155612.88215646
54467481,(2024 QR1),2025-02-23,0.0508809225,0.1137732014,False,17.2755732176,18829575.815046523
54510160,(2024 YE6),2025-02-23,0.1058168859,0.2366137501,False,4.7628283653,25867858.093262453
54520170,(2025 DP1),2025-02-23,0.0068007213,0.0152068751,False,5.6181923275,3851015.179948742
54520312,(2025 DS2),2025-02-23,0.0328514828,0.0734581487,False,11.047265096,3601836.440598152
54520317,(2025 DX2),2025-02-23,0.0188171989,0.042076536,False,15.8433210026,4694765.911361853
54520319,(2025 DZ2),2025-02-23,0.0032550299,0.007278468,False,11.9922761339,187671.171185841
54520526,(2025 DQ4),2025-02-23,0.0295498293,0.0660754271,False,10.194331949,6302042.928357424
54520789,(2025 DP6),2025-02-23,0.0578835257,0.1294314984,False,12.6214542109,7240426.714208958
54520790,(2025 DQ6),2025-02-23,0.0294140602,0.0657718381,False,17.4240356181,1034218.978853703
54521718,(2025 DQ27),2025-02-23,0.0082519194,0.0184518527,False,16.1816615616,1588077.28228467
2480858,480858 (2001 PT9),2026-03-10,0.1764229081,0.3944936153,True,10.6516032751,12722867.74731802
2527977,527977 (2008 EY68),2026-03-10,0.0921626549,0.2060819612,False,19.9496852264,18666444.09502379
3670729,(2014 JR25),2026-03-10,0.058150704,0.130028927,False,12.5207014525,30790866.985821795
